"compound_temp","portalAUCaverage","systemiAUCcaverage","AUCportalminusAUCsystemicaverage","tstat","CILower97.5","CIHigher2.5","pvalue_boot","bootstrappingtrialsnumber"
"glycerate_B6_HFCS",17931255.6275062,16715297.5155281,1215958.11197812,0.568877290994524,1142629.61755554,1282707.87667312,0,10000
"glycerate_B6_water",66381631.9635244,32030101.8135506,34351530.1499738,2.09089899683695,33105676.5431122,34745800.3399137,0,10000
"glycerate_DBA_HFCS",15887476.2734625,16695146.776125,-807670.502662499,-0.308748462477155,-850536.947144151,-754066.172942926,0,10000
"glycerate_DBA_water",37980603.9907125,20227945.21215,17752658.7785625,1.44843666093393,17160613.4113525,18846325.6944311,0,10000
"glycerate_FVB_HFCS",16984210.0067625,13714180.75995,3270029.2468125,0.986123459176987,3104175.98345422,3498740.36262854,0,10000
"glycerate_FVB_water",304196124.14505,104359892.8548,199836231.29025,5.85235716964857,198073366.946432,202064682.545669,0,10000
